	1B	1N	2B	2N	3B	3N	4B	4N	5B	5N	6B	6N	7B	7N	8B	8N
isogroup53274_g2	300	290	99	95	54	227	17	0	57	177	30	175	603	166	1460	213	
isogroup53276_g1	0	0	0	0	0	1	0	0	5	0	0	0	0	0	3	0	
isogroup53276_g2	0	0	1	3	3	4	3	0	4	6	0	0	4	1	36	1	
isogroup53277_g1	199	251	148	89	53	240	29	0	75	175	18	124	298	91	731	68	
isogroup53278_g1	31	30	8	35	4	22	6	0	5	13	4	4	42	21	106	21	
isogroup53279_g1	92	82	30	26	22	68	12	0	31	23	6	54	118	38	504	82	
isogroup53280_g1	724	649	172	148	80	594	32	0	114	368	46	328	1222	577	3830	665	
isogroup53281_g1	537	771	101	125	29	355	10	0	47	286	11	136	543	380	4298	885	
isogroup53282_g1	6	6	0	0	0	8	1	0	0	0	0	0	3	6	63	12	
isogroup53283_g1	15	11	7	3	0	7	0	0	1	5	0	2	13	7	103	26	
isogroup53286_g1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	
isogroup53287_g1	11	18	21	11	0	1	3	0	0	1	2	12	93	14	32	0	
isogroup53288_g1	31	15	13	5	4	23	4	0	10	5	3	23	33	11	105	16	
isogroup53290_g1	639	933	271	289	86	887	44	0	95	440	59	637	1026	357	1691	402	
isogroup53291_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	
isogroup53291_g3	0	0	2	0	0	5	0	0	3	0	0	5	2	0	11	1	
isogroup53294_g1	228	209	84	150	15	211	12	0	52	154	14	152	184	153	1173	206	
isogroup53295_g2	8	1	1	2	0	4	0	0	0	0	0	1	10	3	8	1	
isogroup53299_g1	52	62	9	13	3	22	4	0	10	40	3	45	44	19	154	33	
isogroup5329_g1	13	18	6	7	7	1	7	0	6	6	1	10	40	8	31	12	
isogroup53300_g1	3	9	0	0	1	1	0	0	1	4	0	2	10	0	14	5	
isogroup53302_g1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	6	0	
isogroup53304_g1	4	5	6	10	3	16	0	0	12	2	5	16	7	1	62	13	
isogroup53305_g1	38	43	26	22	4	82	3	0	18	56	3	52	57	44	206	49	
isogroup53306_g1	146	131	63	32	25	92	8	0	28	38	13	53	200	93	1801	185	
isogroup53307_g1	13	19	0	0	1	22	0	0	6	42	1	11	0	1	57	22	
isogroup53308_g1	38	71	13	5	6	6	0	0	14	24	0	6	106	55	731	123	
isogroup53309_g1	43	141	13	5	4	5	3	0	1	18	1	9	170	98	331	100	
isogroup53310_g1	29	35	8	17	5	49	8	0	5	17	1	34	56	8	243	25	
isogroup53311_g1	105	135	34	56	13	76	2	0	11	97	8	30	123	33	646	111	
isogroup53312_g1	39	79	21	59	12	95	3	0	27	58	6	56	84	46	311	85	
isogroup53313_g1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup53313_g2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	
isogroup53316_g1	765	893	143	162	88	342	33	0	110	407	56	94	1066	476	3787	847	
isogroup53317_g1	98	99	33	23	18	69	5	0	12	31	6	56	124	53	410	96	
isogroup53318_g1	6	3	1	0	1	1	2	0	5	1	0	3	9	5	55	8	
isogroup53319_g1	1	4	0	1	1	0	0	0	2	7	0	0	2	3	10	1	
isogroup53319_g2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	12	0	
isogroup53321_g1	1	6	0	1	0	9	1	0	3	5	3	1	5	0	24	6	
isogroup53322_g2	12	13	15	9	3	10	0	0	1	7	0	12	12	19	49	10	
isogroup53323_g1	335	571	211	265	143	807	94	1	200	339	107	501	1031	537	4152	705	
isogroup53326_g1	63	83	74	104	20	48	2	0	55	121	2	58	199	74	724	79	
isogroup53327_g1	416	776	312	468	117	588	76	0	172	319	104	313	1266	346	14977	1727	
isogroup53328_g1	92	111	96	41	38	126	15	0	23	96	6	160	206	93	510	73	
isogroup5332_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	
isogroup53331_g1	3258	4415	551	435	286	1115	204	1	389	769	224	988	8227	3048	28765	4643	
isogroup53332_g1	23	25	9	12	1	24	0	0	5	8	4	12	35	20	106	10	
isogroup53334_g1	701	870	278	335	131	705	61	0	228	501	109	701	1671	567	3625	702	
isogroup53336_g3	20	4	0	0	2	7	0	0	0	1	2	19	8	3	57	14	
isogroup53337_g1	66	70	21	8	3	34	6	0	6	35	1	13	168	108	531	86	
isogroup53344_g1	2	9	3	3	2	25	1	0	1	34	1	6	3	4	68	7	
isogroup53345_g1	117	138	72	70	18	177	21	0	52	104	20	120	293	142	715	166	
isogroup53346_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	
isogroup53347_g1	0	1	0	0	0	3	0	0	2	3	2	1	6	0	56	10	
isogroup53348_g1	15	30	3	9	3	47	0	0	2	7	5	15	60	15	230	31	
isogroup53349_g1	0	0	0	0	1	0	2	0	0	0	0	2	0	0	12	3	
isogroup53350_g1	7	8	11	6	0	10	1	0	6	9	2	16	16	5	88	12	
isogroup53351_g1	464	569	267	393	83	855	41	1	135	432	47	365	1357	573	4257	725	
isogroup53352_g1	1	2	0	0	0	4	0	0	2	3	0	2	3	0	24	4	
isogroup53356_g1	49	89	105	57	39	110	55	0	53	68	22	120	252	86	746	149	
isogroup5335_g1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	6	0	
isogroup53361_g1	20	34	6	5	5	46	0	0	1	13	2	23	30	18	87	29	
isogroup53363_g1	315	452	154	153	45	278	21	0	61	152	22	169	468	207	1543	260	
isogroup53363_g2	67	94	11	30	3	42	2	0	8	60	5	58	108	17	264	50	
isogroup53363_g3	85	92	10	14	6	22	2	0	25	27	4	51	139	82	468	52	
isogroup53364_g1	0	4	0	1	0	0	0	0	0	0	0	0	6	2	21	4	
isogroup53365_g1	0	7	2	0	0	2	1	0	1	5	0	1	0	0	49	1	
isogroup53367_g1	15	17	20	36	3	17	4	0	11	13	3	29	39	16	92	15	
isogroup53371_g1	23	20	8	3	4	11	0	0	16	5	3	13	58	9	131	24	
isogroup53371_g2	26	56	14	28	5	67	5	0	8	21	5	37	96	40	184	50	
isogroup53372_g1	10	14	7	20	1	28	0	0	5	15	1	23	47	16	221	22	
isogroup53373_g1	29	29	10	7	2	14	0	0	6	27	1	34	50	21	141	25	
isogroup53375_g2	9	10	5	23	0	2	0	0	0	1	2	8	4	0	26	4	
isogroup53375_g3	11	2	20	5	6	26	0	0	0	0	0	10	31	9	24	5	
isogroup53377_g3	3	1	17	1	3	7	0	0	0	0	4	4	1	0	17	0	
isogroup53380_g1	12	20	15	23	15	48	7	0	5	9	6	24	77	27	257	57	
isogroup53381_g1	280	382	195	179	34	301	27	0	100	183	23	337	703	296	2222	360	
isogroup53383_g1	6	4	0	20	3	4	1	0	7	10	0	7	11	2	111	28	
isogroup53384_g2	338	489	88	101	56	456	31	0	56	117	36	166	775	224	1690	257	
isogroup53387_g1	106	107	68	43	33	62	13	0	35	55	13	74	271	69	889	131	
isogroup53388_g1	99	163	85	50	29	150	6	0	16	46	17	70	229	63	842	199	
isogroup53392_g1	0	12	2	3	0	0	0	0	0	0	0	0	5	0	9	5	
isogroup53392_g2	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup53394_g1	0	1	1	0	0	0	0	0	0	2	0	0	1	0	0	0	
isogroup53396_g1	12	1	1	0	0	0	0	0	0	6	1	7	6	1	31	6	
isogroup53399_g1	0	3	0	0	0	0	0	0	0	4	0	2	1	0	5	5	
isogroup5339_g1	48	84	16	7	6	27	1	0	14	22	1	22	83	37	293	55	
isogroup53401_g1	0	3	0	0	1	0	0	0	0	0	0	0	11	0	9	1	
isogroup53401_g2	9	12	6	9	0	38	4	0	7	15	5	23	42	12	138	20	
isogroup53402_g1	22	22	11	0	2	14	1	0	4	5	3	8	27	9	124	16	
isogroup53403_g1	47	49	1	27	3	29	3	0	20	61	4	16	75	29	343	37	
isogroup53407_g1	45	23	28	18	11	53	4	0	7	24	4	38	64	16	233	32	
isogroup53408_g1	12	27	5	23	1	5	0	0	12	34	6	44	7	2	42	17	
isogroup53410_g1	339	356	149	131	62	265	16	0	66	145	29	208	378	182	1521	256	
isogroup53411_g1	22	18	5	5	4	29	0	0	2	3	2	9	23	6	113	21	
isogroup53412_g1	3	1	0	0	0	15	0	0	3	1	2	5	3	2	41	4	
isogroup53414_g1	2	5	3	0	0	8	0	0	0	4	0	7	18	13	64	14	
isogroup53415_g1	11	10	4	3	4	46	0	0	16	37	1	8	43	22	203	34	
isogroup53415_g2	63	70	7	13	144	14	2	0	19	6	12	173	156	24	162	34	
isogroup53417_g1	19	22	7	17	3	9	10	0	6	15	2	29	18	16	141	20	
isogroup53418_g1	6	18	20	13	21	12	27	0	21	38	20	18	65	13	133	7	
isogroup53419_g1	1	2	0	0	0	0	0	0	2	0	0	3	7	0	4	0	
isogroup53420_g1	0	1	1	0	0	0	0	0	0	0	0	0	3	0	18	3	
isogroup53421_g1	17	17	1	5	0	0	0	0	0	9	7	7	39	10	159	10	
isogroup53422_g1	0	0	13	2	0	19	1	0	2	6	1	8	0	0	0	0	
isogroup53424_g1	33	36	9	13	11	32	1	0	11	13	5	14	59	11	163	24	
isogroup53427_g1	197	183	80	106	35	194	27	0	25	125	14	153	319	180	1063	179	
isogroup53428_g1	144	175	63	27	30	62	22	0	36	59	25	102	299	87	886	124	
isogroup53429_g1	27	13	0	5	0	1	8	0	3	6	3	7	37	2	95	11	
isogroup53430_g1	11572	16188	4165	4101	2112	12039	779	4	2140	6849	1059	7887	26774	10748	85404	14721	
isogroup53431_g1	339	411	110	247	58	443	13	0	53	185	32	271	419	207	2082	353	
isogroup53431_g2	116	95	65	55	18	235	12	0	70	64	21	74	262	88	834	131	
isogroup53432_g1	15	31	7	20	5	49	0	0	9	23	1	24	49	26	122	31	
isogroup53433_g1	38	30	15	17	5	7	0	0	11	28	3	24	32	25	145	21	
isogroup53434_g1	18	19	13	7	7	8	5	0	5	11	9	28	52	19	156	43	
isogroup53439_g1	54	63	1	6	7	6	4	0	14	32	4	54	92	55	257	75	
isogroup53442_g1	23	30	19	10	4	22	2	0	11	16	6	12	75	14	176	21	
isogroup53443_g1	3	2	1	3	0	0	0	0	1	0	0	6	18	4	7	3	
isogroup53444_g1	4	10	1	4	0	1	3	0	1	8	0	0	2	0	18	3	
isogroup53444_g2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	
isogroup53444_g3	0	1	0	0	0	0	1	0	0	0	0	2	0	0	8	0	
isogroup53445_g1	39	35	21	10	11	72	10	0	11	60	7	39	107	36	360	44	
isogroup53446_g1	171	265	91	58	36	121	24	0	85	121	18	118	643	387	1217	176	
isogroup53447_g1	30	38	22	7	2	44	1	0	3	34	2	38	71	41	248	53	
isogroup53448_g1	8	25	31	26	4	22	2	0	14	32	4	5	11	1	16	2	
isogroup53449_g1	60	77	7	14	1	19	1	0	15	2	0	14	27	13	127	15	
isogroup53451_g2	68	92	19	0	0	28	6	0	5	23	2	20	107	43	219	33	
isogroup53452_g1	22	31	1	0	2	21	0	0	0	0	0	14	17	17	93	13	
isogroup53453_g1	20	34	13	8	1	16	4	0	15	17	6	31	67	16	207	27	
isogroup53454_g1	14	21	3	0	1	6	1	0	3	8	2	4	27	2	65	10	
isogroup53456_g1	3	4	12	9	0	2	0	0	3	16	2	8	7	1	39	5	
isogroup53456_g2	0	4	0	0	0	6	0	0	2	5	0	1	5	3	7	3	
isogroup53457_g2	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	
isogroup53459_g1	16	14	0	4	1	2	0	0	5	1	0	14	24	15	57	9	
isogroup53460_g1	83	102	47	58	13	60	52	0	39	47	28	159	283	92	702	131	
isogroup53461_g1	177	128	64	52	20	110	15	0	52	32	22	107	309	101	850	117	
isogroup53465_g1	277	315	148	114	52	221	31	0	36	128	21	166	406	152	1299	235	
isogroup53466_g1	29	66	29	58	24	68	12	0	38	27	20	74	184	44	585	96	
isogroup53467_g1	8	15	14	15	2	71	8	1	18	51	16	12	50	14	50	7	
isogroup53468_g1	14	9	22	8	1	17	6	0	3	21	0	9	40	13	51	10	
isogroup53469_g1	0	7	5	0	0	3	0	0	1	2	2	12	8	6	64	2	
isogroup53470_g1	42	45	13	4	5	25	2	0	8	11	5	34	109	51	190	49	
isogroup53471_g1	29	24	10	1	0	35	0	0	0	11	0	9	44	15	76	17	
isogroup53473_g1	32	73	53	12	10	25	7	0	29	34	15	43	132	47	279	56	
isogroup53474_g1	311	364	215	201	55	231	22	1	114	245	54	373	740	265	1236	224	
isogroup53476_g2	0	3	0	0	0	18	1	0	3	12	1	4	11	2	45	3	
isogroup53480_g1	38	69	22	27	3	116	2	0	17	58	10	93	169	85	179	47	
isogroup53481_g1	15	15	5	1	3	15	0	0	2	2	3	8	46	29	263	24	
isogroup53483_g3	2	1	0	0	0	0	0	0	0	0	0	0	2	0	2	0	
isogroup53486_g1	67	72	10	7	1	27	1	0	11	29	2	51	110	59	340	48	
isogroup53487_g1	3	0	0	1	0	1	0	0	0	8	0	0	1	2	17	8	
isogroup53490_g1	75	55	31	87	21	154	2	0	22	73	11	131	121	60	234	27	
isogroup53490_g5	14	10	2	3	4	26	0	0	2	17	5	22	20	5	109	12	
isogroup53491_g1	0	1	8	4	6	0	0	0	3	19	7	17	4	8	62	4	
isogroup53492_g1	14	40	26	3	7	15	6	0	0	4	4	34	42	12	198	31	
isogroup53495_g1	6	15	8	6	6	27	0	0	6	4	3	10	23	11	68	10	
isogroup53495_g2	0	0	0	0	1	2	0	0	0	0	0	0	0	2	2	0	
isogroup53496_g1	10	3	1	0	0	10	0	0	1	14	2	1	25	13	32	3	
isogroup53497_g2	361	351	351	452	130	508	62	0	262	424	64	302	919	252	1772	335	
isogroup53498_g1	17	14	17	18	5	17	0	0	9	35	3	19	6	8	124	30	
isogroup53499_g1	84	89	71	58	22	132	3	0	25	47	2	68	88	59	186	43	
isogroup53500_g1	85	174	247	195	32	117	43	0	83	184	31	161	178	48	1687	181	
isogroup53502_g1	23	15	0	0	6	23	0	0	0	7	0	1	51	18	146	37	
isogroup53503_g1	13	32	15	8	6	77	0	0	13	14	12	15	84	51	381	52	
isogroup53504_g1	30	32	8	14	6	37	4	0	9	26	4	35	80	25	142	36	
isogroup53505_g1	10	13	14	11	0	18	0	0	2	0	0	4	0	0	68	13	
isogroup53506_g1	0	0	9	12	0	8	0	0	2	5	0	3	0	0	1	0	
isogroup53507_g1	71	63	53	33	14	157	16	0	25	68	7	120	179	51	264	68	
isogroup53508_g1	1	5	6	6	1	1	0	0	2	0	0	1	15	1	31	6	
isogroup53509_g1	400	363	256	106	49	376	18	0	130	336	16	318	457	159	1383	211	
isogroup53510_g1	3053	5081	2732	3672	916	5711	537	2	1637	2960	734	3735	7069	2984	34809	5762	
isogroup53512_g1	2	1	0	0	0	45	2	0	0	27	1	8	2	0	12	4	
isogroup53513_g2	0	9	6	1	0	1	0	0	0	2	0	7	0	7	10	2	
isogroup53515_g1	64	76	19	31	10	52	8	0	9	57	4	32	214	62	569	110	
isogroup53516_g1	603	662	277	376	96	757	42	0	123	445	76	499	1102	545	3548	725	
isogroup53517_g1	0	3	0	2	0	1	0	0	0	0	0	1	2	0	4	6	
isogroup53519_g1	21	32	27	18	3	64	5	2	11	46	15	23	64	16	147	29	
isogroup5351_g1	7	20	14	0	0	0	0	0	0	0	0	4	22	4	41	9	
isogroup53520_g1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	
isogroup53521_g1	43	74	14	44	22	40	6	0	12	20	4	31	119	43	351	53	
isogroup53522_g1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	
isogroup53523_g1	46	46	35	47	35	127	10	1	49	78	41	86	100	16	289	60	
isogroup53524_g1	5	5	6	1	0	0	0	0	3	2	0	0	0	0	0	0	
isogroup53524_g2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
isogroup53526_g1	29	26	13	1	10	19	1	0	13	20	5	20	43	29	209	24	
isogroup53527_g1	2023	3213	671	408	277	1189	117	0	188	609	65	959	3072	1398	15003	2300	
isogroup53527_g2	2	0	0	0	0	4	0	0	0	0	0	7	2	1	10	0	
isogroup53528_g1	1	12	9	0	6	8	0	0	3	3	2	8	35	9	80	15	
isogroup53529_g1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	1	
isogroup53529_g2	21	27	9	4	3	30	0	0	5	5	2	10	87	14	221	24	
isogroup53530_g1	32	51	35	23	6	52	0	0	11	17	4	40	56	29	267	26	
isogroup53531_g1	137	110	39	17	3	6	3	0	5	6	1	55	142	111	173	34	
isogroup53532_g1	2	10	5	1	3	0	0	0	0	1	0	7	1	2	8	0	
isogroup53532_g2	10	29	5	6	3	5	7	0	2	0	0	13	17	8	52	10	
isogroup53533_g1	5	0	6	8	4	8	2	0	0	1	0	2	2	0	1	0	
isogroup53534_g1	58	108	44	31	22	110	7	0	24	71	10	85	177	60	639	104	
isogroup53535_g2	34	50	12	19	2	62	1	0	20	34	0	22	62	65	258	40	
isogroup53539_g1	8	8	3	7	1	24	1	0	5	15	1	14	43	13	82	20	
isogroup53540_g1	1097	1418	511	663	256	1787	122	1	456	644	163	754	1941	729	6024	1030	
isogroup53541_g1	29	49	9	26	5	102	1	0	3	13	1	28	33	36	239	49	
isogroup53542_g1	6	12	0	18	2	0	0	0	2	8	0	3	14	6	71	5	
isogroup53543_g1	187	213	96	73	40	153	6	0	53	154	16	125	306	102	801	138	
isogroup53546_g1	93	73	50	20	11	41	2	0	12	36	8	40	142	45	461	87	
isogroup53549_g1	2	1	0	0	0	0	0	2	1	0	0	0	2	4	14	1	
isogroup53549_g2	30	35	6	20	2	0	12	0	3	3	2	23	77	29	173	33	
isogroup53550_g1	64	92	16	16	20	75	13	0	5	39	9	87	107	33	614	74	
isogroup53551_g1	25	28	13	34	2	85	2	0	15	34	2	39	133	31	224	44	
isogroup53552_g1	152	264	142	95	54	267	35	0	67	141	48	214	436	184	1240	198	
isogroup53553_g1	24	26	4	0	7	23	1	0	1	18	5	10	14	2	83	4	
isogroup53556_g1	874	1381	359	151	149	467	104	0	136	528	63	396	995	301	4563	649	
isogroup53558_g1	37	64	41	2	5	47	1	0	7	32	3	37	94	44	218	49	
isogroup53558_g2	1	3	3	2	0	0	1	0	1	8	0	2	9	1	28	4	
isogroup53560_g1	149	355	85	78	35	128	18	0	82	65	34	230	451	231	821	168	
isogroup53560_g2	62	80	40	30	16	80	9	0	9	73	11	46	116	55	406	47	
isogroup53562_g1	173	213	96	117	14	124	8	0	47	84	20	62	283	61	1165	148	
isogroup53566_g1	0	6	0	0	1	0	0	0	0	0	0	0	2	2	13	1	
isogroup53566_g2	18	18	1	6	4	1	0	0	2	22	0	12	33	16	191	31	
isogroup53566_g3	15	17	9	17	1	28	0	0	15	24	4	11	21	7	152	15	
isogroup53567_g1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	4	0	
isogroup53568_g1	65	100	17	18	27	69	19	0	20	36	19	63	228	66	566	132	
isogroup5356_g1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	
isogroup53571_g1	211	255	148	152	42	255	48	0	58	189	30	251	409	160	1417	202	
isogroup53572_g1	39	33	38	23	9	186	8	0	15	39	19	78	116	26	307	47	
isogroup53573_g1	21	32	29	30	8	40	0	0	17	38	6	28	50	13	273	26	
isogroup53574_g1	1	6	5	13	4	15	3	0	5	5	3	12	9	2	23	2	
isogroup53575_g1	13	6	0	5	0	1	0	0	0	0	0	1	7	2	32	5	
isogroup53579_g1	11	9	15	3	5	12	3	0	4	27	7	22	14	5	48	2	
isogroup53580_g1	0	0	1	0	1	4	0	0	1	7	1	2	3	0	8	1	
isogroup53582_g1	96	68	54	44	20	142	15	1	22	92	25	94	178	98	551	80	
isogroup53582_g2	56	152	66	58	8	111	35	0	51	55	10	107	347	87	1072	220	
isogroup53584_g2	1	6	1	1	1	1	0	0	3	0	1	0	12	4	39	1	
isogroup53590_g1	5	2	6	5	3	17	2	0	4	7	4	20	12	14	123	26	
isogroup53591_g2	20	38	20	23	11	33	23	0	1	41	15	66	126	23	139	29	
isogroup53592_g1	24	16	11	9	11	11	8	0	7	23	4	42	33	24	126	19	
isogroup53592_g2	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	1	
isogroup53594_g2	208	225	68	84	41	210	12	0	38	119	26	144	321	125	1237	174	
isogroup53598_g1	77	191	172	208	17	191	4	0	21	60	10	128	951	296	1345	180	
isogroup53599_g1	273	308	94	106	53	257	25	1	118	122	40	391	925	407	1986	359	
isogroup53600_g1	24	22	19	36	14	50	0	0	14	29	4	35	41	14	202	24	
isogroup53600_g2	1	8	1	0	2	14	0	0	1	3	0	1	3	1	43	10	
isogroup53600_g3	0	0	0	0	0	7	0	0	0	0	0	0	1	0	14	0	
isogroup53601_g1	9	19	14	18	15	21	12	0	10	28	8	30	51	20	209	28	
isogroup53602_g1	43	52	36	6	7	21	0	0	7	39	3	30	77	59	152	27	
isogroup53603_g1	1	5	52	30	4	30	2	0	43	95	12	54	29	6	45	1	
isogroup53604_g1	17	23	2	1	3	4	0	0	4	17	3	8	34	18	136	34	
isogroup53605_g1	5	11	1	0	0	5	1	0	2	7	3	18	55	23	175	12	
isogroup53606_g1	9	7	0	0	0	1	1	0	3	3	2	4	12	4	119	13	
isogroup53608_g1	81	134	44	45	11	30	2	0	19	48	8	67	146	84	783	169	
isogroup53608_g2	1	2	0	0	0	0	0	0	0	1	0	14	23	8	51	10	
isogroup53609_g1	15	14	1	8	3	13	3	0	5	15	0	4	25	10	132	13	
isogroup53610_g1	154	170	124	49	20	286	24	0	60	96	22	123	264	123	638	106	
isogroup53612_g1	19	34	13	9	6	12	6	0	13	40	4	26	66	19	240	37	
isogroup53614_g1	29	53	25	0	6	39	1	0	12	33	7	15	70	23	306	53	
isogroup53616_g1	45	74	2	9	6	34	0	0	6	1	5	28	164	55	473	92	
isogroup53621_g1	38	53	11	21	5	92	5	0	19	35	3	55	86	59	271	44	
isogroup53622_g1	15	29	14	11	1	12	0	0	5	7	6	11	19	7	62	21	
isogroup53623_g1	28	25	9	19	8	24	4	0	16	31	9	25	52	15	157	27	
isogroup53624_g1	190	285	163	98	32	187	36	0	61	107	32	189	510	257	1197	238	
isogroup53625_g1	4	12	6	2	0	6	0	0	2	35	0	6	20	3	74	14	
isogroup53626_g1	21	26	23	14	4	5	1	0	0	0	2	13	47	13	117	35	
isogroup53628_g1	8	5	3	0	0	1	3	0	0	4	2	8	21	3	59	12	
isogroup53630_g2	52	54	30	21	13	39	8	0	39	70	32	85	118	33	254	32	
isogroup53631_g1	37	48	13	21	2	16	1	0	7	9	2	22	42	13	161	30	
isogroup53633_g1	0	0	1	0	1	0	0	0	0	14	2	3	2	3	21	0	
isogroup53633_g2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	
isogroup53635_g1	12	26	22	1	1	5	1	0	3	2	1	8	16	3	35	6	
isogroup53636_g1	11	22	2	0	7	19	0	0	0	20	5	2	5	1	5	0	
isogroup53637_g1	0	1	0	0	1	1	0	0	0	0	0	0	6	2	32	1	
isogroup53639_g1	16	18	5	12	1	11	0	0	0	13	0	14	23	24	113	31	
isogroup53641_g1	27	26	4	7	18	53	0	0	9	38	1	14	58	24	197	31	
isogroup53642_g1	112	108	35	38	29	96	3	0	18	47	4	74	148	77	577	106	
isogroup53643_g1	5	5	0	0	0	2	0	0	1	8	0	6	11	15	38	16	
isogroup53644_g1	11	19	3	0	1	7	2	0	2	22	0	3	40	17	102	13	
isogroup53645_g2	20	25	2	19	3	39	5	0	3	33	1	30	52	22	101	20	
isogroup53646_g1	92	79	22	21	16	81	15	0	56	23	15	47	225	69	739	60	
isogroup53647_g3	8	0	3	4	4	5	3	0	0	14	2	5	4	7	55	10	
isogroup53647_g4	0	1	1	0	0	8	0	0	3	0	0	3	2	0	13	2	
isogroup53648_g1	95	116	37	20	16	100	12	0	16	58	10	42	78	37	829	116	
isogroup53649_g1	6	10	6	0	0	0	0	0	0	2	1	4	12	10	63	10	
isogroup53652_g1	1	3	0	0	0	0	0	0	3	0	0	3	15	3	44	6	
isogroup53653_g1	14	12	64	70	19	60	5	0	11	111	6	121	15	9	96	22	
isogroup53655_g1	14	11	10	5	1	27	0	0	2	9	0	3	23	6	93	14	
isogroup53656_g2	256	330	106	120	33	163	11	0	79	158	16	137	476	229	1844	256	
isogroup53657_g1	12	20	0	0	3	25	6	0	9	33	3	27	30	5	147	19	
isogroup53658_g1	3	3	0	1	2	19	9	0	0	2	0	14	10	2	51	7	
isogroup53658_g2	40	25	17	29	12	26	2	0	18	28	3	8	48	27	260	23	
isogroup53659_g1	19	21	10	12	7	5	5	0	12	27	13	23	58	18	168	18	
isogroup53662_g1	0	2	0	0	0	5	0	0	0	0	0	6	3	6	2	5	
isogroup53663_g1	967	1096	548	414	131	567	51	0	104	537	55	598	1774	802	4676	863	
isogroup53664_g1	102	108	75	96	29	148	10	0	30	56	17	58	391	122	1007	152	
isogroup53665_g2	166	315	40	78	30	160	28	0	33	59	3	97	196	84	1279	267	
isogroup53666_g1	18	9	2	3	2	8	0	0	13	6	1	7	22	4	44	2	
isogroup53667_g1	7	32	11	1	9	36	5	0	5	35	2	27	29	8	202	39	
isogroup53668_g1	5	5	7	0	1	6	1	0	3	11	0	0	20	5	43	2	
isogroup53670_g1	0	0	0	0	3	13	0	0	0	1	0	6	4	1	13	1	
isogroup53671_g1	9	26	18	1	8	17	0	0	2	11	4	11	13	8	170	20	
isogroup53672_g1	21	7	4	8	0	0	0	0	1	1	1	0	18	7	43	13	
isogroup53673_g1	52	44	39	30	0	0	1	0	0	1	1	4	56	25	253	37	
isogroup53674_g1	13	13	0	0	0	1	0	0	2	4	0	2	17	3	25	4	
isogroup53676_g1	12	27	0	3	2	35	0	0	3	14	1	4	25	12	71	11	
isogroup53679_g1	0	0	13	0	0	4	2	0	0	6	2	9	5	2	16	0	
isogroup53680_g1	251	391	115	103	73	270	53	1	179	256	37	373	588	176	2410	421	
isogroup53681_g1	22	35	12	4	4	34	3	0	5	20	6	19	57	22	333	52	
isogroup53682_g1	17	32	8	8	9	0	9	0	10	34	6	21	38	21	76	24	
isogroup53683_g1	25	37	24	13	2	35	4	0	25	59	12	28	62	32	319	40	
isogroup53684_g2	138	131	24	49	26	190	3	0	17	93	12	69	149	67	255	39	
isogroup53685_g1	80	105	38	12	37	62	10	0	9	47	10	32	105	32	458	79	
isogroup53686_g1	96	124	48	67	37	70	11	0	52	118	26	135	278	96	438	89	
isogroup53687_g1	44	37	9	42	1	12	2	0	5	7	0	4	47	16	219	36	
isogroup53691_g1	76	74	5	35	3	6	1	0	5	11	2	7	24	17	123	20	
isogroup53692_g1	130	166	77	19	29	116	8	0	25	148	13	115	365	183	923	181	
isogroup53696_g1	17	27	73	74	4	27	5	0	4	1	2	9	50	24	105	17	
isogroup53697_g1	42	62	18	30	8	42	1	0	1	8	1	15	102	36	293	48	
isogroup53698_g1	7	10	10	15	0	0	0	0	5	6	5	13	8	8	52	10	
isogroup53699_g1	5	14	7	26	2	38	1	0	4	4	6	17	33	12	80	15	
isogroup53700_g1	42	34	1	0	3	12	2	0	11	9	0	2	52	22	138	23	
isogroup53702_g1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
isogroup53703_g1	34	30	19	12	3	6	0	0	2	13	2	34	107	69	393	48	
isogroup53704_g1	22	27	2	10	2	38	1	0	4	15	3	13	65	27	222	12	
isogroup53705_g1	1489	4210	25	16	369	736	28	0	63	139	30	166	250	107	6740	2658	
isogroup53706_g1	28	12	11	12	6	31	0	0	7	8	2	14	28	1	69	12	
isogroup53708_g1	994	859	314	535	281	1441	19	1	257	483	46	559	1813	435	1154	221	
