	1B	1N	2B	2N	3B	3N	4B	4N	5B	5N	6B	6N	7B	7N	8B	8N
isogroup105293_g1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	
isogroup105384_g1	0	0	0	0	7	19	0	0	4	2	0	0	2	0	0	0	
isogroup105392_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroup105416_g1	2	0	0	1	0	0	0	0	0	0	0	0	1	1	14	3	
isogroup105468_g1	2	16	0	0	1	0	0	0	2	3	0	4	3	2	20	2	
isogroup105484_g1	2	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	
isogroup105560_g1	0	0	0	0	0	0	0	0	0	1	0	0	1	2	6	0	
isogroup105599_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	
isogroup10563_g1	2	4	0	2	0	0	0	0	0	0	0	0	9	2	17	2	
isogroup105700_g1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	
isogroup105739_g1	21	38	0	0	0	0	0	0	0	0	1	3	7	3	85	26	
isogroup10576_g1	0	1	0	0	0	0	0	0	0	4	2	0	7	1	9	1	
isogroup10589_g2	19	14	0	0	2	14	0	0	11	1	3	2	9	12	18	5	
isogroup10590_g1	0	8	0	0	1	0	1	0	0	10	1	34	0	0	2	0	
isogroup105915_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroup10593_g1	31	59	0	1	6	42	0	0	20	84	13	20	41	12	330	45	
isogroup1059_g1	3	0	0	0	0	0	0	0	0	0	0	0	1	1	4	1	
isogroup106077_g1	2	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	
isogroup10624_g1	18	27	11	0	0	22	2	0	2	13	1	26	24	17	106	19	
isogroup10628_g1	18	21	2	0	1	26	0	0	3	3	1	2	24	17	86	24	
isogroup106310_g1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup106462_g1	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup106499_g1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	
isogroup10653_g1	102	117	97	13	16	101	11	0	27	84	15	99	186	49	294	62	
isogroup10657_g1	0	0	0	0	0	0	0	0	0	0	0	2	2	0	13	1	
isogroup106634_g1	1	1	0	0	0	0	0	0	0	10	1	6	5	4	40	3	
isogroup10670_g1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
isogroup106793_g1	0	1	0	0	4	14	4	0	12	25	1	7	4	1	22	2	
isogroup106812_g1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	
isogroup10687_g1	51	78	50	27	13	78	5	0	21	59	10	30	453	190	771	51	
isogroup106958_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroup106984_g1	0	0	4	0	0	0	0	0	0	0	0	0	0	5	5	0	
isogroup107176_g1	3	4	7	16	0	0	0	0	1	0	0	0	0	0	1	0	
isogroup10717_g1	0	1	5	0	0	0	0	0	0	0	0	6	13	4	136	12	
isogroup10723_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	
isogroup10772_g1	7	5	4	4	1	12	16	0	6	28	3	17	30	10	9	1	
isogroup10778_g1	11	0	7	7	0	0	0	0	0	0	0	0	6	3	8	0	
isogroup107798_g1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	6	1	
isogroup10779_g1	338	507	124	127	87	444	31	0	67	178	33	185	751	267	2781	176	
isogroup107817_g1	0	0	0	0	0	9	0	0	0	0	0	0	0	0	3	0	
isogroup10781_g1	1	0	0	1	2	1	0	0	0	0	0	0	0	0	19	3	
isogroup10786_g1	15	3	9	4	0	19	0	0	16	48	10	32	14	8	59	10	
isogroup1078_g1	8	1	1	0	0	9	2	0	3	6	0	1	2	0	8	3	
isogroup107919_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	
isogroup10794_g1	2	1	0	0	0	2	0	0	0	10	1	0	2	0	4	2	
isogroup107992_g1	0	0	0	0	0	0	0	0	0	0	0	0	3	1	5	1	
isogroup107993_g1	4	1	1	9	4	7	1	0	9	3	2	4	8	4	15	0	
isogroup108009_g1	27	35	46	26	12	53	0	0	4	32	2	49	89	22	129	31	
isogroup10808_g1	9	2	0	0	2	13	0	0	0	3	2	17	2	0	36	9	
isogroup108094_g1	0	0	0	0	0	1	0	0	0	0	0	0	6	1	16	1	
isogroup10815_g1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	0	
isogroup10836_g1	8	4	8	0	3	1	4	0	0	0	0	4	4	1	29	13	
isogroup10850_g1	4	6	5	0	1	0	0	0	2	2	0	6	20	6	44	7	
isogroup108532_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	
