X,X1B,X1N,X2B,X2N,X3B,X3N,X5B,X5N,X6B,X6N,X7B,X7N,X8B,X8N,fitPatch,adjp.p,pval.p,adjp.g,pval.g,adjp.pc1,pval.pc1,direction,pval,binary
isogroup49770_g2,6.53543399522309,6.68605940898747,7.18332680255578,7.52772900054389,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,6.97275553320997,7.21492341300345,6.667542543756,7.02377439296017,-0.357453823394614,0.00992883884431509,7.23565603503173e-05,0,0,0.884789993179651,0.0179174972893509,-1,-4.14052148637966,1
isogroup49826_g1,5.39805415705719,5.3179410611279,5.36075093076823,5.19400017160502,5.63595071297338,5.47851334857843,6.21969921277621,5.75534572048762,6.27470747476724,5.99529278059143,5.63077164614336,5.10969932146412,5.28861993474843,4.97025214005054,0.577465027700896,0.0805932533635546,0.00166314844546089,2.03467268573985e-06,1.95375331246694e-07,0.884789993179651,0.084120065517497,1,2.77906895968433,1
isogroup49849_g1,8.55666874837273,8.64111579486599,8.33513981009783,8.70133012386384,8.22749602035457,8.57331768311974,8.35599092850749,8.41853594217559,8.0590557930125,8.53847065915528,8.25986390917867,8.31549094534888,8.09850499732139,8.56518456255174,-0.274618555937274,0.0798891642142179,0.00160978607519591,0.400291782235692,0.274880022708713,0.884789993179651,0.0365888736207394,-1,-2.79323180663873,1
isogroup49900_g1,7.58780288479336,7.59526165983073,7.23764274653507,8.2462071398152,6.58187644277321,7.61145749399247,6.72526124782915,7.00104910820148,6.62641645707121,7.41544660417865,7.28944278274249,8.0931300856563,7.16149019535355,7.36660403413785,-0.668969449998768,0.0468107705882257,0.000701230721582347,0.0583129485583369,0.0229283524645197,0.884789993179651,0.0174889881279933,-1,-3.15413900337551,1
isogroup49996_g1,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,5.04544444439572,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,4.20810796003774,3.79936497857006,30.8696548930333,0.0199992265040917,0.000182935920740035,0.0219219631466936,0.00703285251634977,0.884789993179651,0.0512042689232515,1,3.73770077200642,1
isogroup49998_g1,5.69167472357189,5.12084085158307,5.04575203491847,3.79936497857006,3.79936497857006,4.58371680167141,5.19515392026038,4.96535476184023,5.4693284986816,5.43476604268194,5.20914080286658,4.84024981095888,4.97612597561434,4.69453603810728,0.863510665676211,0.0660199323270763,0.00115815971147215,8.07286325997857e-05,1.14796614982815e-05,0.519447824052769,0.00301894848704842,1,2.9362315093031,1
isogroup50040_g1,5.94851004210055,5.7275360147365,7.71905190473145,6.74482391467113,7.01643219057832,6.87747865826245,8.10802536135233,7.14647556755385,8.36340546664208,7.20421291473014,6.7899826526535,6.11923893257628,6.37505246074429,6.05389513969187,0.815985124308997,0.000684142594428111,1.60671211946184e-06,0,0,0.0848701647378203,0.000154141236356375,1,5.79403490123987,1
isogroup50081_g1,7.20100747845694,7.10725464801495,6.92592010582772,6.32348548302393,6.58187644277321,6.2181436854223,6.78891393002535,6.37701451984587,6.27470747476724,6.20455364435547,6.75229241881826,6.61104055631803,7.22964486328822,6.96838868105908,0.319303686075548,0.0827685744455068,0.00176373291014453,1.10517655633141e-14,3.33066907387547e-16,0.884789993179651,0.0493817218354429,1,2.75356715673073,1
isogroup50122_g1,5.56696661315831,8.71183263905923,7.93067102322024,8.26100291566854,4.82685231042767,4.85106786996299,5.19515392026038,9.39172336908512,7.24378030908447,9.20654610755497,4.67300389500932,9.29069436048704,5.07952128185521,8.31195001192141,-3.49715565292774,0.0405803679993071,0.000566654718859083,0.186402113855149,0.0990492893993886,0.842868264785252,0.0061615415288061,-1,-3.24668141362006,1
isogroup50291_g1,6.16287397278106,6.61267355807791,6.30906101605299,6.29416027867291,5.37849869666072,6.27345574562144,5.96074310509998,6.50772813017466,5.26398885770717,6.39958763271218,5.53864507607491,6.21777286049291,5.44397400279972,5.8685436834008,-0.822571553700556,0.0295739995483581,0.000345008213909259,0.0867151744517442,0.0375331477576153,0.884789993179651,0.0150327807283305,-1,-3.46217043929945,1
