gene,pval
isogroup10991_g1,-0.291912351504201
isogroup109920_g1,-0.237665471850505
isogroup109940_g1,0.833250161143351
isogroup109976_g1,-3.36578504822594
isogroup109983_g1,0.00865447024777789
isogroup109993_g1,0.95764454779683
isogroup110003_g1,1.00952843298259
isogroup110024_g1,-0.0342647289499068
isogroup110036_g1,-1.46470076708783
isogroup110051_g1,-0.0458417765144258
isogroup110090_g1,-0.902617682997078
isogroup110093_g1,0.239439163266116
isogroup11009_g1,0.574973044277887
isogroup110124_g1,-0.0909587923059832
isogroup110142_g1,-1.01030777563323
isogroup110177_g1,-0.257296975897933
isogroup110190_g1,-0.0291732827250556
isogroup11021_g1,-4.13767740793006
isogroup110227_g1,-0.000329410842081538
isogroup110234_g1,-0.603909821128389
isogroup110239_g1,0.295780989102326
isogroup110247_g1,0.137571239084807
isogroup11030_g1,-0.886900253013739
isogroup110379_g1,0.926883812608236
isogroup110388_g1,-0.480029812941731
isogroup110425_g1,0.394967480619326
isogroup110434_g1,0.0597711082615881
isogroup110448_g1,-0.100622497333452
isogroup110462_g1,0.783765858373458
isogroup110489_g1,-0.945041911263058
isogroup110506_g1,0.0135417488115011
isogroup11055_g1,0.127473321273599
isogroup11058_g1,-1.19989627803373
isogroup110591_g1,0.148213741072352
isogroup110599_g1,0.75502253544234
isogroup110649_g1,-0.142007812158119
isogroup110669_g1,0.140829186148393
isogroup110675_g1,1.69338559791193
isogroup110753_g1,-0.292960495343049
isogroup110824_g1,0.2094308445258
isogroup110842_g1,-0.0207612235296459
isogroup110849_g1,1.57183852507226
isogroup110880_g1,2.36585682669654
isogroup110892_g1,0.737699363947417
isogroup110896_g1,0.865119923086005
isogroup110912_g1,0.191524140025462
isogroup110940_g1,1.6148318319839
isogroup110960_g1,-0.548951278204028
isogroup110971_g1,0.706233008522064
isogroup11099_g1,0.117789041985882
isogroup111032_g1,0.539341654254817
isogroup111051_g1,-0.202477635681183
isogroup11119_g1,0.374308815607871
isogroup111202_g1,0.467881043843197
isogroup111225_g1,0.508368469071676
isogroup111252_g1,0.421794535719177
isogroup111269_g1,-0.39754550527226
isogroup111272_g1,0.108290474072994
isogroup111345_g1,0.059602835446179
isogroup111364_g1,-0.437348007678335
isogroup111397_g1,-0.125630383851917
isogroup111408_g1,0.0472629316170515
isogroup111427_g1,-1.32274181508721
isogroup111459_g1,0.130896070791549
isogroup111461_g1,-0.719772428013102
isogroup111510_g1,-0.826283197185297
isogroup11156_g1,0.0532671980080408
isogroup111583_g1,-0.0370003778927551
isogroup111605_g1,1.39042373663576
isogroup111611_g1,-0.155409708431826
isogroup111623_g1,0.919041311833466
isogroup111633_g1,0.0429186555438449
isogroup111643_g1,-0.226812968128252
isogroup111654_g1,-0.0533283324021853
isogroup111686_g1,-0.328415487221418
isogroup111716_g1,-0.571794420020549
isogroup111758_g1,0.166529609913848
isogroup111805_g1,1.6455805635375
isogroup111861_g1,-0.516596579473957
isogroup111871_g1,0.35576973096584
isogroup111883_g1,0.195534115871822
isogroup111904_g1,3.85028518902003
isogroup111915_g1,0.232694591582935
isogroup111929_g1,-2.02515565408205
isogroup111942_g1,1.94182378511398
isogroup111987_g1,0.228604967582073
isogroup112001_g1,0.705855945591654
isogroup112025_g1,0.0534930800281854
isogroup112043_g1,0.0579141022653347
isogroup112077_g1,-0.0213758125371231
isogroup112098_g1,0.370153398702532
isogroup112109_g1,0.0124469616023989
isogroup11213_g1,-0.717751632957617
isogroup112163_g1,0.732151291611799
isogroup11217_g1,-0.198015640948671
isogroup112188_g1,0.280380787350025
isogroup112204_g1,0.540260537517028
isogroup112208_g1,0.747811759382526
isogroup112231_g1,0.314684483784848
isogroup112262_g1,-1.62725129040823
isogroup112287_g1,-0.573521132817901
isogroup11228_g1,0.0309780003890834
isogroup112290_g1,-0.386512081159325
isogroup112326_g1,-0.180742202634617
isogroup112359_g1,0.674733600298484
isogroup112361_g1,0.538604393465563
isogroup112363_g1,0.186218490185458
isogroup112368_g1,-0.284941110119207
isogroup112383_g1,0.111919513439564
isogroup11239_g1,-0.252678427452011
isogroup112440_g1,3.15141593523743
isogroup1124_g1,0.113618404036993
isogroup112509_g1,-0.475719434490175
isogroup112522_g1,-0.0301543851799223
isogroup112597_g1,0.263539090777356
isogroup1125_g1,-1.88694660789929
isogroup112606_g1,0.50230892136587
isogroup112612_g1,0.430202768636173
isogroup112645_g1,0.032821513469301
isogroup112653_g1,0.658318323044593
isogroup11268_g1,0.00100718713420138
isogroup11270_g1,-1.62133066660986
isogroup112738_g1,0.238800788267279
isogroup112751_g1,3.43164064262666
isogroup112763_g1,0.307895979067563
isogroup112858_g1,0.0686090305477674
isogroup112880_g1,-0.992730536550778
isogroup112894_g1,0.0288140048184947
isogroup112953_g1,0.142126738301972
isogroup112963_g1,0.65199600281157
isogroup112978_g1,-0.00686692518745726
isogroup112985_g1,-0.21929785849846
isogroup11301_g1,-0.282850336770828
isogroup113035_g1,0.257009885746242
isogroup113069_g1,0.548000362223125
isogroup113075_g1,0.00829721473689611
isogroup113084_g1,-0.654447221082576
isogroup113086_g1,0.0782283629833204
isogroup113090_g1,0.281812871118736
isogroup113097_g1,0.183665190871544
isogroup113130_g1,-0.312030319244348
isogroup113133_g1,-0.409585123494121
isogroup113179_g1,0.966242686582898
isogroup11317_g1,0.573381140732455
isogroup113201_g1,-0.121556845328362
isogroup113225_g1,0.83451075301058
isogroup113247_g1,-0.794579432518456
isogroup113264_g1,0.0913130697720774
isogroup11331_g1,-1.13875895869639
isogroup113344_g1,0.194298608827817
isogroup113400_g1,-0.181271603661651
isogroup113414_g1,-0.327969468208493
isogroup11343_g1,-0.0861615019433994
isogroup113446_g1,-0.194116223080997
isogroup113451_g1,0.995666134263393
isogroup113453_g1,0.377958440911711
isogroup113470_g1,1.93785670079077
isogroup113568_g1,1.09539122825619
isogroup113572_g1,-0.00838414039308725
isogroup1135_g1,-0.0653929791805789
isogroup113630_g1,0.567785998903745
isogroup113637_g1,0.241464470151344
isogroup113641_g1,0.159571690959805
isogroup113719_g1,0.294207200974628
isogroup113733_g1,-0.216933545458257
isogroup113744_g1,-0.590977961027339
isogroup113817_g1,-0.0369344700722326
isogroup113863_g1,0.345739780870207
isogroup11391_g1,-0.542703947558146
isogroup113977_g1,-0.194231016649332
isogroup113979_g1,-0.0215064840363613
isogroup113980_g1,2.36585682669654
isogroup113984_g1,0.950323010323187
isogroup113988_g1,3.5855684926006
isogroup113995_g1,-0.351033760518802
isogroup114013_g1,2.9272456537305
isogroup114015_g1,0.174912963584604
isogroup114030_g1,-0.557474976316998
isogroup114067_g1,0.283343537170565
isogroup114077_g1,1.11767249538127
