X,binary
isogroup115674_g1,0
isogroup115691_g1,0
isogroup115693_g1,0
isogroup115695_g1,0
isogroup115742_g1,0
isogroup115778_g1,0
isogroup115832_g1,0
isogroup115861_g1,0
isogroup115875_g1,0
isogroup115879_g1,0
isogroup115886_g1,0
isogroup115896_g1,0
isogroup11589_g1,0
isogroup115927_g1,0
isogroup11597_g1,0
isogroup11599_g1,0
isogroup116028_g1,0
isogroup116076_g1,0
isogroup116088_g1,0
isogroup116142_g1,0
isogroup116154_g1,1
isogroup11624_g1,0
isogroup116258_g1,0
isogroup116264_g1,0
isogroup116314_g1,0
isogroup116353_g1,0
isogroup116397_g1,0
isogroup11640_g1,0
isogroup116431_g1,0
isogroup116440_g1,0
isogroup11644_g2,0
isogroup116488_g1,0
isogroup116508_g1,0
isogroup116528_g1,0
isogroup116617_g1,0
isogroup116624_g1,0
isogroup116700_g1,0
isogroup11670_g1,0
isogroup116782_g1,0
isogroup116853_g1,0
isogroup116859_g1,0
isogroup116947_g1,0
isogroup116982_g1,0
isogroup116984_g1,0
isogroup117050_g1,0
isogroup117062_g1,0
isogroup117068_g1,0
isogroup117069_g1,0
isogroup117095_g1,0
isogroup1170_g1,0
isogroup117105_g1,0
isogroup117130_g1,0
isogroup117143_g1,0
isogroup117174_g1,0
isogroup117198_g1,0
isogroup11723_g1,0
isogroup117250_g1,1
isogroup117265_g1,0
isogroup11727_g1,0
isogroup11728_g1,0
isogroup117293_g1,0
isogroup117383_g1,0
isogroup117414_g1,0
isogroup117447_g1,0
isogroup117464_g1,0
isogroup117477_g1,0
isogroup117482_g1,1
isogroup117484_g1,0
isogroup117632_g1,0
isogroup117636_g1,0
isogroup117702_g1,0
isogroup117708_g1,0
isogroup117725_g1,0
isogroup11782_g1,0
isogroup11784_g2,0
isogroup11790_g1,0
isogroup117916_g1,0
isogroup11791_g1,0
isogroup11792_g1,0
isogroup11793_g1,0
isogroup117945_g1,0
isogroup117957_g1,0
isogroup117993_g1,0
isogroup118029_g1,0
isogroup118032_g1,0
isogroup118186_g1,0
isogroup118190_g1,0
